P38903	RTS1
P31383	TPD3
Q00362	CDC55
P47096	BNA1
P40433	PFK26
Q12471	PFK27
P38720	GND1
P53319	GND2
P47182	AAD10
P42884	AAD14
Q08361	AAD15
Q02895	AAD16
P25612	AAD3
Q07747	AAD4
P43547	AAD6
P12904	SNF4
P37898	AAP1
P32357	AAR2
P23542	AAT2
Q01802	AAT1
Q08641	ABP140
P14164	ABF1
Q02486	ABF2
P47146	ABM1
P15891	ABP1
P39970	ACA1
P40535	CST6
Q00955	ACC1
P31787	ACB1
P21192	ACE2
P28240	ICL1
Q12031	ICL2
P47129	ACF4
P32316	ACH1
Q07622	ACK1
Q03771	ACL4
Q08981	ACM1
P21147	OLE1
P39533	ACO2
P19414	ACO1
P13711	POX1
P32463	ACP1
Q01574	ACS1
P52910	ACS2
P60010	ACT1
Q02336	ADA2
P37254	ABZ1
Q03233	ADD37
P53909	AAH1
Q2V2Q1	ADF1
P00330	ADH1
P00331	ADH2
P07246	ADH3
P10127	ADH4
P38113	ADH5
Q04894	ADH6
P25377	ADH7
P47143	ADO1
P25371	ADP1
Q01976	YSA1
P07248	ADR1
P48360	ARH1
Q12184	YAH1
P04710	AAC1
P18239	PET9
P18238	AAC3
P38872	PFS1
P25613	ADY2
Q07732	ADY3
Q05955	ADY4
P32493	AEP1
P22136	AEP2
Q12089	AEP3
P53930	YAF9
Q07988	AFB1
P32317	AFG1
P32794	AFG2
P39925	AFG3
Q99222	AFI1
P33304	AFR1
P22149	AFT1
Q08957	AFT2
P32323	AGA1
P32781	AGA2
Q12482	AGC1
Q04412	AGE1
P40529	AGE2
P38628	PCM1
P25376	AGP1
P38090	AGP2
P43548	AGP3
P43567	AGX1
Q12449	AHA1
Q12433	AHC1
P25649	AHC2
P38013	AHP1
P29589	AHT1
P03875	AI1
P03876	AI2
Q9ZZX0	AI5_BETA
P52923	AIF1
P87275	AIM11
P53109	AIM14
P23180	AIM17
P38884	AIM18
P40502	AIM19
P40451	AIM20
P40563	AIM21
P47015	AIM23
P47127	AIM24
P47140	AIM25
P32858	AIM26
P36154	AIM29
P39721	AIM2
Q04689	AIM32
Q04516	AIM33
Q03673	AIM34
Q03798	AIM36
Q08223	AIM39
P38266	AIM3
Q12032	AIM41
Q99299	AIM44
P38885	AIM46
P38305	AIM4
Q07716	AIM6
Q12156	AIM7
P40053	AIM9
P46680	AIP1
P40507	AIR1
Q12476	AIR2
P38080	AKL1
P39010	AKR1
Q12013	AKR2
P10869	HOM3
P52893	ALT1
P52892	ALT2
P47019	ALB1
P47771	ALD2
P54114	ALD3
P46367	ALD4
P40047	ALD5
P54115	ALD6
Q08548	ALE1
P14540	FBA1
P50076	DIE2
P53954	ALG11
P53730	ALG12
P53178	ALG13
P38242	ALG14
P16661	ALG1
P43636	ALG2
P38179	ALG3
P40350	ALG5
Q12001	ALG6
P40351	ALG8
P53868	ALG9
P43633	ALK1
P32789	ALK2
P32459	DAL3
P25335	DAL2
P32375	DAL1
P54783	ALO1
P38971	ALP1
Q08269	ALR1
P43553	ALR2
P36117	ALY1
P47029	ALY2
P50082	AMA1
P22580	AMD2
Q08902	AMF1
P38285	AMN1
P15274	AMD1
P14904	APE1
P08019	SGA1
P32629	ANP1
P36090	ANR2
P38832	ANS1
Q06497	ANT1
Q03687	ANY1
P38856	YAP1801
P53309	YAP1802
P36000	APL2
Q12028	APL4
Q00776	APM1
P35181	APS1
P19880	YAP1
P38065	APL3
P27351	APL1
Q99186	APM4
Q00381	APS2
P24813	CAD1
P46682	APL6
Q08951	APL5
P38153	APM3
P47064	APS3
P16550	APA1
P22108	APA2
P53068	DOC1
Q12157	APC11
P53886	APC1
Q12440	APC2
Q04601	APC4
Q08683	APC5
Q12107	APC9
P38281	APD1
P32454	APE2
P37302	APE3
Q04413	API2
P53940	APJ1
P38700	APM2
P22936	APN1
P38207	APN2
P53933	APP1
P40532	APQ12
P47036	APQ13
P49435	APT1
P36973	APT2
Q08702	HNT3
P53943	AQR1
P0CD91	AQY1
P0CD90	AQY2
P43549	AQY3
P38115	ARA1
Q04212	ARA2
P40024	ARB1
P46672	ARC1
P07347	ARD1
P25628	ARE1
P53629	ARE2
P11076	ARF1
P19146	ARF2
P40994	ARF3
Q01217	ARG5,6
P18544	ARG8
P00812	CAR1
Q04728	ARG7
P07249	ARG80
P05085	ARG81
P53111	ARI1
P53974	ARK1
P38116	ARL1
Q02804	ARL3
P04076	ARG4
P38731	ARN1
P38724	ARN2
Q06408	ARO10
P08566	ARO1
Q04052	ARO80
P53090	ARO8
P38840	ARO9
P28777	ARO2
P14843	ARO3
P32449	ARO4
Q04549	ARP10
P38696	ARP1
P32381	ARP2
P47117	ARP3
P80428	ARP4
P53946	ARP5
Q12509	ARP6
Q12406	ARP7
Q12386	ARP8
Q05123	ARP9
P38328	ARC40
P53731	ARC35
Q05933	ARC18
P33204	ARC19
P40518	ARC15
Q06596	ARR1
Q06597	ARR2
Q06598	ARR3
P18634	ART10
Q8TGM7	ART2
Q8TGM5	ART3
P53244	ART5
Q06541	ARV1
Q03862	ARX1
Q06822	ASA1
P50275	ASE1
P32447	ASF1
P32448	ASF2
P40467	ASG1
P46993	ASG7
P34233	ASH1
P54074	ASI1
P53895	ASI2
P53983	ASI3
P48361	ASK10
P35734	ASK1
P49089	ASN1
P49090	ASN2
P0CZ17	ASP3-1
P0CX77	ASP3-2
P0CX78	ASP3-3
P0CX79	ASP3-4
P38986	ASP1
Q06834	ASR1
P22768	ARG1
P35183	AST1
P39945	AST2
P13586	PMR1
P38929	PMC1
P39524	DRS2
Q12675	DNF2
P32660	DNF1
P40527	NEO1
Q12674	DNF3
P16639	ATE1
P40353	ATF1
P53296	ATF2
Q07879	ATG10
Q12527	ATG11
P38316	ATG12
Q06628	ATG13
P38270	ATG14
P25641	ATG15
Q03818	ATG16
Q06410	ATG17
P43601	ATG18
P35193	ATG19
P53104	ATG1
Q07528	ATG20
Q02887	ATG21
P25568	ATG22
Q06671	ATG23
Q06321	ATG26
P46989	ATG27
Q12092	ATG29
P53855	ATG2
Q12421	ATG31
P40458	ATG32
Q06485	ATG33
Q12292	ATG34
P46983	ATG36
Q05789	ATG38
Q06159	ATG39
P40344	ATG3
Q99325	ATG40
Q12048	ATG41
P53867	ATG4
Q12380	ATG5
P38862	ATG7
P38182	ATG8
Q12142	ATG9
P48016	ATH1
P01097	INH1
P40416	ATM1
P38110	TEL1
P13587	ENA1
Q01896	ENA2
Q12691	ENA5
P32907	ATO2
Q12359	ATO3
P18496	ATP10
P32453	ATP11
P22135	ATP12
Q12349	ATP14
P81450	ATP18
P81451	ATP19
P50273	ATP22
P53722	ATP23
Q03153	ATP25
P21306	ATP15
P00854	ATP6
P30902	ATP7
P00856	ATP8
P61829	OLI1
P07251	ATP1
P00830	ATP2
Q12165	ATP16
P05626	ATP4
P38077	ATP3
P81449	TIM11
Q06405	ATP17
Q12233	ATP20
P09457	ATP5
P13090	ATR1
P38111	MEC1
P31386	ATS1
P38360	PCA1
P38995	CCC2
P38636	ATX1
Q12067	ATX2
P32450	AUA1
P36107	AUR1
Q08409	AUS1
Q12500	AVL9
Q08236	AVO1
Q04749	AVO2
P47082	AVT1
P39981	AVT2
P36062	AVT3
P50944	AVT4
P38176	AVT5
P40074	AVT6
P40501	AVT7
P40851	AXL1
P38928	AXL2
P40471	AYR1
Q12226	AYT1
P41696	AZF1
P50080	AZR1
Q12128	BAG7
P38084	BAP2
P41815	BAP3
P12630	BAR1
P22035	BAS1
P47068	BBC1
Q12365	BBP1
Q12186	MSL5
P38891	BAT1
P47176	BAT2
P38772	BCD1
Q05029	BCH1
P36122	BCH2
Q01389	BCK1
P33306	BCK2
Q06338	BCP1
P32839	BCS1
P35817	BDF1
Q07442	BDF2
P39714	BDH1
P39713	BDH2
Q08347	BDS1
Q02948	VPS30
P29366	BEM1
P39960	BEM2
P32873	BEM3
P39011	BEM4
P22804	BET1
P36149	BET3
Q03630	BET5
P47113	BFA1
P38934	BFR1
Q06631	BFR2
P15703	BGL2
P38813	BIG1
P11709	BIK1
P40013	BIM1
P53744	BIO5
P50277	BIO3
P32451	BIO2
P53630	BIO4
P16474	KAR2
P47134	BIR1
P38346	BIT2
P47041	BIT61
Q06071	BLS1
Q06333	CNL1
Q01532	LAP3
P35727	BLI1
P43583	BLM10
P29311	BMH1
P34730	BMH2
Q08965	BMS1
P38278	BMT2
P40493	BMT5
Q12291	BMT6
P47039	BNA3
P41832	BNI1
P53858	BNI4
P53890	BNI5
P40450	BNR1
P50084	BNS1
P38041	BOI1
P39969	BOI2
Q3E793	BOL1
P53082	BOL2
P39724	BOL3
Q06150	BOP2
P53958	BOP3
P53838	BOR1
P25385	BOS1
P25356	BPH1
P48445	BPL1
P14772	BPT1
Q07457	BRE1
P43132	BRE2
Q07660	BRE4
P53741	BRE5
P38770	BRL1
P48582	BRO1
P53194	BRP1
Q99177	BRR1
P32639	BRR2
P53062	BRR6
Q08235	BRX1
Q12140	BSC1
Q05611	BSC2
O13558	BSC3
P53841	BSC4
P53755	BSC5
Q08280	BSC6
P38356	BSD2
Q06604	BSP1
P43571	BST1
P47040	YHC3
P53286	BTN2
P41695	BUB1
P26448	BUB2
P26449	BUB3
P27637	BUD14
P39988	BUD16
P53727	BUD17
O94143	BUD19
Q08004	BUD20
Q08492	BUD21
Q04347	BUD22
P25627	BUD23
P85052	BUD25
Q03783	BUD26
P43573	BUD27
Q07992	BUD28
P33314	BUD2
Q12064	BUD30
P25337	BUD31
P53323	BUD32
P25558	BUD3
P47136	BUD4
P25300	BUD5
P41697	BUD6
Q08754	BUD7
P41698	BUD8
P53226	BUD9
Q12191	BUG1
P48524	BUL1
Q03758	BUL2
P23293	SGV1
Q05949	BUR2
P48558	BXI1
P36106	BYE1
P40580	IRC24
P38822	BZZ1
P07245	ADE3
P09440	MIS1
P53836	CAF120
P36076	CAB3
Q03941	CAB5
Q04199	CAC2
P80235	YAT1
P32796	CAT2
P43569	CAF16
P47158	IBA57
P12962	CAF20
P53829	CAF40
P36130	CAF4
P39101	CAJ1
P43568	CAK1
P06787	CMD1
P27825	CNE1
P04817	CAN1
P25296	CNB1
P53615	NCE103
P28495	CAP1
P13517	CAP2
P17555	SRV2
P07258	CPA1
P03965	CPA2
P07267	PEP4
P34237	COY1
P39113	CAT8
P15202	CTA1
P06115	CTT1
P53223	CAX4
P17106	CBF1
P32504	CBF2
P40969	CEP3
P35203	CTF13
P33322	CBF5
P53894	CBK1
P07252	CBP1
P03874	CBP2
P21560	CBP3
P37267	CBP4
P07253	CBP6
P27614	CPS1
P00729	PRC1
P14066	CBS1
P14905	CBS2
P32582	CYS4
P36038	CBT1
P21269	CCA1
P47818	CCC1
Q03702	CCE1
P50077	CCH1
P06182	CYC3
P37366	CCL1
P48237	CCM1
P00431	CCP1
P31384	CCR4
P40202	CCS1
Q12127	CCW12
O13547	CCW14
Q7LHD1	CCW22
P38273	CCZ1
Q05791	CDC123
Q06702	CDA1
Q06703	CDA2
P25342	CDC10
P32458	CDC11
P32468	CDC12
P32797	CDC13
Q00684	CDC14
P27636	CDC15
P09798	CDC16
P40986	CDC1
P26309	CDC20
P16522	CDC23
P11433	CDC24
P04821	CDC25
P14724	CDC26
P38042	CDC27
P06704	CDC31
P06101	CDC37
P32457	CDC3
P19073	CDC42
Q08032	CDC45
P25694	CDC48
P07834	CDC4
P25656	CDC50
Q12018	CDC53
P32562	CDC5
P09119	CDC6
Q06697	CDC73
P06243	CDC7
P41733	GAB1
Q06549	CDD1
P53197	CDH1
P00546	CDC28
P38221	CDS1
P47112	TAH11
Q03654	CEF1
P39525	CEM1
P36012	CSE4
P35201	MIF2
Q12262	MCM16
Q12748	CTF3
P47167	MCM22
P38265	IML3
P38907	CHL4
Q06675	MCM21
Q02732	CTF19
P53298	OKP1
Q3E835	MHF1
P43618	CNN1
P38313	AME1
Q2V2P8	WIP1
Q3E829	MHF2
O13297	CET1
Q12453	CEX1
P53280	CAF130
P40558	CFD1
Q06632	CFT1
Q12102	CFT2
P20437	CLN1
Q03705	CGI121
P20438	CLN2
P13365	CLN3
P24868	CLB1
P24869	CLB2
P24870	CLB3
P24871	CLB4
P53188	CGR1
P30283	CLB5
P32943	CLB6
P38910	HSP10
P43634	CHA4
P32656	GCG1
P32657	CHD1
Q06350	CTS2
P29029	CTS1
P38147	CHK1
P22516	CHL1
P32178	ARO7
P05374	CHO2
P08004	CHS1
P14180	CHS2
P29465	CHS3
Q12114	CHS5
P40955	CHS6
P38843	CHS7
P40019	CHZ1
Q05583	CIA1
P38779	CIC1
Q01649	CIK1
P40987	CIN1
P39110	CIN4
P27895	CIN8
Q06139	CIS1
P47001	CIS3
P00890	CIT1
P08679	CIT2
P43635	CIT3
P20486	CKS1
P48562	CLA4
P17891	CLC1
P53264	CLD1
Q12309	CLF1
P35190	CLG1
P22137	CHC1
Q08685	CLP1
P38323	MCX1
Q03690	CLU1
D6W196	SAL1
Q3E7A9	CMC4
Q12510	CMR1
Q12145	CMR3
Q07897	CMS1
Q06156	YCS4
P38170	BRN1
Q06680	YCG1
P53865	CNM67
P33313	CNS1
P40452	COA1
Q3E823	COA2
Q3E7B2	COA3
Q05809	COA4
Q3E846	COA6
P53332	CAB4
Q03048	COF1
